"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01001",771,158.628013456666,101.813225673059,131.061800979397,191.370539808049,128.273580258249,54.671334814412,5.18150501016875,393.885580436648
"01002",253.000000000001,57.2633744855969,29.1522633744857,72.8806584362143,38.5226337448561,35.3991769547327,17.6995884773663,2.08230452674898,128.061728395062
"01004",14204,2716.40645050466,3077.12340294677,2766.23428638092,2399.37684945819,2034.68060642108,1020.05865547654,190.119748811837,6856.41518774744
"01005",1720,340.718294051627,263.501683501683,356.161616161616,373.535353535353,267.362514029181,109.068462401796,9.65207631874298,861.930415263748
"01006",112,12.2181818181818,16.2909090909091,15.2727272727273,29.5272727272728,27.4909090909091,10.1818181818182,1.01818181818182,63.1272727272728
"01007",2763,615.764516129032,387.827956989247,622.645161290322,526.958064516129,421.337275985663,172.679211469534,15.7878136200717,1354.84480286738
"01008",755,137,129,158,183,112,33,3,381
"01009",324,53,36,55,71,68,36,5,165
"01010",1113,261.438627595298,160.0245509323,241.316049870906,223.183939323884,149.827648414812,75.1644312516551,2.04475261114538,546.213222568665
"01011",373,85.0532865421097,43.4887602783951,73.9220052562632,76.8442141335589,77.6011382435379,15.0710676784648,1.01952786767066,189.723930099576
"01012",329,67.964492920389,29.2933916609279,58.6544179131998,65.5262360094096,61.3248065987905,44.2176565659434,2.0189983313398,168.578894883983
"01013",144,27,15,25,39,27,11,0,77
"01014",3356,630.001655881967,484.745801521827,622.869406657422,693.468694974935,671.753548873665,208.824694836384,44.3361972538014,1650.08935945453
"01015",647,101,93,106,140,134,68,5,321
"01016",460.999999999999,102.668122270742,45.2947598253275,102.668122270742,91.5960698689955,80.5240174672488,34.2227074235807,4.02620087336244,222.447598253275
"01017",450.000000000001,102.49476140239,44.9410931720923,97.0478973616653,82.0867738606749,81.8314294787615,39.6602256199481,1.93781910446826,220.310417551039
"01019",27,3.11538461538462,3.11538461538462,3.11538461538462,5.1923076923077,10.3846153846154,2.07692307692308,0,16.6153846153846
"01021",1427,282,227,302,296,244,66,10,695
"01022",1244,208.272025990899,180.836453550603,203.336781062795,258.201952618214,242.222909114006,137.043715654395,14.0861620090917,612.573958531658
"01023",71,12.1447368421053,11.2105263157895,12.1447368421053,21.4868421052631,11.2105263157895,1.86842105263158,0.934210526315789,37.3684210526316
"01024",3196,684.437542338405,494.830516749795,661.534798074011,658.512909960987,490.780101830113,189.431979089836,16.4721519568512,1583.42277027127
"01025",4078.00000000001,873.55420834927,585.702411749721,815.415507968092,893.63855774949,662.956548354262,216.643404142689,30.0893616864846,2053.38738354333
"01026",948.000000000001,171.068413391558,145.796943231441,181.76018922853,157.500414974846,155.794753441099,106.006422533773,30.0728631987538,441.556762174724
"01027",2513,483,855,489,373,240,70,3,1443
"01028",610,151.28,64.416,127.856,119.072,112.24,32.208,2.928,298.656
"01029",687,125.87362416946,91.5407461940696,144.255643157615,164.942012817564,103.175471132802,51.1977389993146,6.01476352917429,345.043342474803
"01030",848,168.781664656212,140.139927623643,184.125452352232,182.079613992762,123.773220747889,42.962605548854,6.13751507840772,409.167671893848
"01031",3632,735.687081957108,680.302013306985,702.161478785146,662.84923466356,599.139126930543,224.891604748807,26.9694596078551,1763.13394184757
"01032",3351,875,556,753,569,387,168,43,1624
"01033",16431,3301.08428151749,2952.68603713865,3365.52033979509,3287.66766881758,2248.75144225171,1082.44608851993,192.844141959553,8113.57094197339
"01034",9121.99999999999,1666.93083147797,1490.50533752378,1560.1086754834,1780.29367461053,1444.56400119804,948.298634342308,231.298845363955,4290.83143793397
"01035",311.999999999999,54.7012987012985,23.2987012987012,65.8441558441557,73.9480519480517,70.9090909090907,20.2597402597402,3.03896103896103,154.987012987013
"01036",1320,213.798413292494,150.427614775036,219.570764578876,292.386907826306,291.827512224769,135.928910639749,16.0598766627688,672.246908672473
"01037",302,56.6109545600021,35.9378265624932,66.7292027104407,56.4945194409003,63.7286588010397,17.4106050701288,5.08823285499473,182.60235038254
"01038",753,149.738737428686,103.107870423064,140.54195102392,157.338805555769,133.818863055019,59.1831941736114,9.27057833993215,372.449576435298
"01039",443,80,60,86,93,90,27,7,221
"01040",490.999999999998,103.319558499021,71.6076148013016,103.295914147236,106.38845627622,70.5846488755687,31.7119436977193,4.09186370293152,251.625973378504
"01041",745,135,115,142,177,112,54,10,362
"01042",281.000000000001,52.9420289855075,37.6702898550726,61.0869565217394,58.0326086956524,53.9601449275365,17.3079710144928,0,154.753623188406
"01043",4684,920.320828119957,716.332523117431,852.255153416931,1070.99108132975,712.302421424962,375.346974108037,36.4510184829327,2296.66760905415
"01044",632,135,108,151,107,86,44,1,315
